"date","home.team","home.score","away.team","away.score"
18-03-04,"Sociedad",14,"Alaves",3
18-03-04,"Valencia",12,"Betis",9
18-03-05,"Celta",14,"Las Palmas",10
18-03-09,"Girona",9,"La Coruna",8
18-03-10,"Eibar",12,"Real Madrid",12
18-03-10,"Getafe",11,"Levante",12
18-03-10,"Malaga",6,"Barcelona",20
18-03-10,"Sevilla",21,"Valencia",10
18-03-11,"Ath Bilbao",13,"Leganes",12
18-03-11,"Ath Madrid",7,"Celta",8
18-03-11,"Espanol",18,"Sociedad",11
18-03-11,"Las Palmas",9,"Villarreal",11
18-03-12,"Alaves",9,"Betis",10
18-03-16,"Levante",6,"Eibar",13
18-03-17,"Betis",9,"Espanol",4
18-03-17,"La Coruna",13,"Las Palmas",8
18-03-17,"Sociedad",8,"Getafe",9
18-03-17,"Valencia",24,"Alaves",16
18-03-18,"Barcelona",18,"Ath Bilbao",10
18-03-18,"Celta",9,"Malaga",5
18-03-18,"Leganes",12,"Sevilla",10
18-03-18,"Real Madrid",20,"Girona",10
18-03-18,"Villarreal",17,"Ath Madrid",8
18-03-31,"Ath Bilbao",11,"Celta",13
18-03-31,"Girona",12,"Levante",15
18-03-31,"Las Palmas",17,"Real Madrid",17
18-03-31,"Sevilla",21,"Barcelona",20
18-04-01,"Ath Madrid",15,"La Coruna",10
18-04-01,"Eibar",15,"Sociedad",7
18-04-01,"Espanol",12,"Alaves",13
18-04-01,"Leganes",8,"Valencia",3
18-04-01,"Malaga",13,"Villarreal",11
18-04-02,"Getafe",8,"Betis",7
18-04-06,"La Coruna",14,"Malaga",11
18-04-07,"Alaves",11,"Getafe",5
18-04-07,"Barcelona",12,"Leganes",11
18-04-07,"Betis",13,"Eibar",5
18-04-07,"Celta",12,"Sevilla",16
18-04-08,"Levante",11,"Las Palmas",17
18-04-08,"Real Madrid",30,"Ath Madrid",9
18-04-08,"Sociedad",13,"Girona",8
18-04-08,"Valencia",14,"Espanol",21
18-04-09,"Villarreal",7,"Ath Bilbao",17
18-04-13,"Girona",9,"Betis",10
18-04-14,"Ath Bilbao",13,"La Coruna",5
18-04-14,"Barcelona",12,"Valencia",17
18-04-14,"Las Palmas",7,"Sociedad",20
18-04-14,"Leganes",19,"Celta",5
18-04-14,"Sevilla",18,"Villarreal",7
18-04-15,"Ath Madrid",13,"Levante",11
18-04-15,"Eibar",21,"Alaves",2
18-04-15,"Getafe",13,"Espanol",5
18-04-15,"Malaga",13,"Real Madrid",16
18-04-17,"Celta",18,"Barcelona",14
18-04-17,"La Coruna",22,"Sevilla",24
18-04-17,"Villarreal",17,"Leganes",6
18-04-18,"Espanol",10,"Eibar",5
18-04-18,"Real Madrid",29,"Ath Bilbao",6
18-04-18,"Valencia",10,"Getafe",8
18-04-19,"Alaves",11,"Girona",14
18-04-19,"Betis",17,"Las Palmas",1
18-04-19,"Levante",11,"Malaga",10
18-04-19,"Sociedad",12,"Ath Madrid",9
18-04-20,"Leganes",13,"La Coruna",12
18-04-21,"Celta",10,"Valencia",17
18-04-21,"Eibar",12,"Getafe",7
18-04-22,"Ath Madrid",10,"Betis",10
18-04-22,"Girona",20,"Espanol",5
18-04-22,"Las Palmas",12,"Alaves",10
18-04-22,"Malaga",4,"Sociedad",14
18-04-23,"Ath Bilbao",18,"Levante",11
18-04-27,"Levante",15,"Sevilla",22
18-04-28,"Espanol",16,"Las Palmas",13
18-04-28,"Real Madrid",12,"Leganes",16
18-04-28,"Sociedad",17,"Ath Bilbao",9
18-04-28,"Villarreal",13,"Celta",15
18-04-29,"Alaves",7,"Ath Madrid",14
18-04-29,"Getafe",10,"Girona",15
18-04-29,"La Coruna",17,"Barcelona",21
18-04-29,"Valencia",16,"Eibar",8
18-04-30,"Betis",12,"Malaga",9
18-05-04,"Sevilla",16,"Sociedad",11
18-05-05,"Ath Bilbao",14,"Betis",6
18-05-05,"Celta",13,"La Coruna",11
18-05-05,"Girona",16,"Eibar",15
18-05-05,"Villarreal",13,"Valencia",6
18-05-06,"Ath Madrid",9,"Espanol",14
18-05-06,"Barcelona",11,"Real Madrid",17
18-05-06,"Las Palmas",21,"Getafe",8
18-05-06,"Malaga",16,"Alaves",13
18-05-07,"Leganes",13,"Levante",10
18-05-09,"Barcelona",12,"Villarreal",20
18-05-09,"Sevilla",14,"Real Madrid",14
18-05-12,"Alaves",4,"Ath Bilbao",13
18-05-12,"Betis",9,"Sevilla",13
18-05-12,"Eibar",10,"Las Palmas",8
18-05-12,"Getafe",11,"Ath Madrid",5
18-05-12,"Girona",16,"Valencia",10
18-05-12,"La Coruna",16,"Villarreal",11
18-05-12,"Real Madrid",15,"Celta",5
18-05-12,"Sociedad",11,"Leganes",9
18-05-13,"Espanol",19,"Malaga",9
18-05-13,"Levante",12,"Barcelona",18
18-05-19,"Celta",20,"Levante",7
18-05-19,"Las Palmas",13,"Girona",12
18-05-19,"Leganes",8,"Betis",16
18-05-19,"Malaga",6,"Getafe",11
18-05-19,"Sevilla",20,"Alaves",10
18-05-19,"Villarreal",14,"Real Madrid",15
18-05-20,"Ath Bilbao",12,"Espanol",11
18-05-20,"Ath Madrid",8,"Eibar",14
18-05-20,"Barcelona",12,"Sociedad",13
18-05-20,"Valencia",22,"La Coruna",12
2018-08-17,"Betis",22,"Levante",6
2018-08-17,"Girona",13,"Valladolid",2
2018-08-18,"Barcelona",25,"Alaves",3
2018-08-18,"Celta",12,"Espanol",14
2018-08-18,"Villarreal",16,"Sociedad",8
2018-08-19,"Eibar",18,"Huesca",8
2018-08-19,"Real Madrid",10,"Getafe",4
2018-08-19,"Vallecano",13,"Sevilla",17
2018-08-20,"Ath Bilbao",17,"Leganes",12
2018-08-20,"Valencia",13,"Ath Madrid",9
2018-08-24,"Getafe",7,"Eibar",9
2018-08-24,"Leganes",18,"Sociedad",7
2018-08-25,"Alaves",16,"Betis",13
2018-08-25,"Ath Madrid",9,"Vallecano",13
2018-08-25,"Valladolid",7,"Barcelona",10
2018-08-26,"Espanol",19,"Valencia",16
2018-08-26,"Girona",10,"Real Madrid",20
2018-08-26,"Sevilla",19,"Villarreal",14
2018-08-27,"Ath Bilbao",14,"Huesca",9
2018-08-27,"Levante",15,"Celta",21
2018-08-31,"Eibar",8,"Sociedad",7
2018-08-31,"Getafe",12,"Valladolid",7
2018-08-31,"Villarreal",13,"Girona",14
2018-09-01,"Celta",10,"Ath Madrid",9
2018-09-01,"Real Madrid",17,"Leganes",8
2018-09-02,"Alaves",8,"Espanol",11
2018-09-02,"Barcelona",31,"Huesca",7
2018-09-02,"Betis",11,"Sevilla",8
2018-09-02,"Levante",13,"Valencia",18
2018-09-14,"Huesca",14,"Vallecano",14
2018-09-15,"Ath Bilbao",11,"Real Madrid",16
2018-09-15,"Ath Madrid",18,"Eibar",12
2018-09-15,"Sociedad",8,"Barcelona",12
2018-09-15,"Valencia",12,"Betis",11
2018-09-16,"Espanol",22,"Levante",16
2018-09-16,"Leganes",16,"Villarreal",9
2018-09-16,"Sevilla",15,"Getafe",10
2018-09-16,"Valladolid",15,"Alaves",10
2018-09-17,"Girona",11,"Celta",20
2018-09-21,"Huesca",13,"Sociedad",7
2018-09-22,"Celta",12,"Valladolid",14
2018-09-22,"Eibar",14,"Leganes",4
2018-09-22,"Getafe",11,"Ath Madrid",7
2018-09-22,"Real Madrid",19,"Espanol",10
2018-09-22,"Vallecano",13,"Alaves",11
2018-09-23,"Barcelona",22,"Girona",7
2018-09-23,"Betis",15,"Ath Bilbao",7
2018-09-23,"Levante",19,"Sevilla",20
2018-09-23,"Villarreal",11,"Valencia",12
2018-09-25,"Ath Madrid",17,"Huesca",8
