"","Date","HomeTeam","HS","AwayTeam","AS"
"184",18-01-13,"Real Madrid",28,"Villarreal",10
"185",18-01-14,"Alaves",12,"Sevilla",14
"186",18-01-14,"Espanol",11,"Ath Bilbao",8
"187",18-01-14,"Levante",15,"Celta",3
"188",18-01-14,"Sociedad",15,"Barcelona",11
"189",18-01-15,"Betis",16,"Leganes",10
"190",18-01-19,"Getafe",17,"Ath Bilbao",7
"191",18-01-20,"Ath Madrid",9,"Girona",6
"192",18-01-20,"Espanol",9,"Sevilla",12
"193",18-01-20,"Las Palmas",20,"Valencia",14
"194",18-01-20,"Villarreal",18,"Levante",16
"195",18-01-21,"Alaves",14,"Leganes",8
"196",18-01-21,"Betis",7,"Barcelona",14
"197",18-01-21,"Real Madrid",24,"La Coruna",5
"198",18-01-21,"Sociedad",16,"Celta",10
"199",18-01-22,"Eibar",15,"Malaga",10
"200",18-01-26,"Ath Bilbao",7,"Eibar",14
"201",18-01-27,"La Coruna",8,"Levante",15
"202",18-01-27,"Malaga",7,"Girona",11
"203",18-01-27,"Valencia",11,"Real Madrid",13
"204",18-01-27,"Villarreal",11,"Sociedad",24
"205",18-01-28,"Ath Madrid",18,"Las Palmas",9
"206",18-01-28,"Barcelona",18,"Alaves",7
"207",18-01-28,"Leganes",11,"Espanol",12
"208",18-01-28,"Sevilla",15,"Getafe",7
"209",18-01-29,"Celta",13,"Betis",7
"210",18-02-02,"Sociedad",19,"La Coruna",4
"211",18-02-03,"Alaves",9,"Celta",16
"212",18-02-03,"Betis",13,"Villarreal",12
"213",18-02-03,"Eibar",17,"Sevilla",11
"214",18-02-03,"Levante",12,"Real Madrid",23
"215",18-02-04,"Ath Madrid",14,"Valencia",9
"216",18-02-04,"Espanol",7,"Barcelona",12
"217",18-02-04,"Getafe",11,"Leganes",2
"218",18-02-04,"Girona",8,"Ath Bilbao",9
"219",18-02-05,"Las Palmas",11,"Malaga",9
"220",18-02-09,"Ath Bilbao",11,"Las Palmas",8
"221",18-02-10,"Leganes",2,"Eibar",19
"222",18-02-10,"Malaga",13,"Ath Madrid",5
"223",18-02-10,"Real Madrid",18,"Sociedad",8
"224",18-02-10,"Villarreal",27,"Alaves",5
"225",18-02-11,"Barcelona",12,"Getafe",10
"226",18-02-11,"Celta",18,"Espanol",3
"227",18-02-11,"Sevilla",13,"Girona",14
"228",18-02-11,"Valencia",18,"Levante",5
"229",18-02-12,"La Coruna",16,"Betis",10
"230",18-02-16,"Girona",10,"Leganes",10
"231",18-02-17,"Alaves",14,"La Coruna",5
"232",18-02-17,"Eibar",13,"Barcelona",10
"233",18-02-17,"Las Palmas",11,"Sevilla",12
"234",18-02-17,"Malaga",9,"Valencia",10
"235",18-02-18,"Ath Madrid",14,"Ath Bilbao",4
"236",18-02-18,"Betis",20,"Real Madrid",12
"237",18-02-18,"Espanol",15,"Villarreal",8
"238",18-02-18,"Sociedad",13,"Levante",9
"239",18-02-19,"Getafe",9,"Celta",4
"240",18-02-21,"Leganes",7,"Real Madrid",13
"241",18-02-23,"La Coruna",17,"Espanol",9
"242",18-02-24,"Barcelona",21,"Girona",10
"243",18-02-24,"Celta",8,"Eibar",15
"244",18-02-24,"Leganes",11,"Las Palmas",4
"245",18-02-24,"Real Madrid",25,"Alaves",11
"246",18-02-25,"Ath Bilbao",8,"Malaga",8
"247",18-02-25,"Sevilla",10,"Ath Madrid",13
"248",18-02-25,"Valencia",7,"Sociedad",9
"249",18-02-25,"Villarreal",10,"Getafe",3
"250",18-02-26,"Levante",12,"Betis",15
"251",18-02-27,"Espanol",16,"Real Madrid",12
"252",18-02-27,"Girona",11,"Celta",10
"253",18-02-28,"Ath Bilbao",11,"Valencia",6
"254",18-02-28,"Ath Madrid",15,"Leganes",9
"255",18-02-28,"Eibar",13,"Villarreal",11
"256",18-02-28,"Getafe",14,"La Coruna",9
"257",18-02-28,"Malaga",8,"Sevilla",6
"258",18-03-01,"Alaves",15,"Levante",6
"259",18-03-01,"Betis",8,"Sociedad",13
"260",18-03-01,"Las Palmas",12,"Barcelona",10
"261",18-03-03,"La Coruna",7,"Eibar",16
"262",18-03-03,"Leganes",10,"Malaga",4
"263",18-03-03,"Real Madrid",14,"Getafe",4
"264",18-03-03,"Sevilla",18,"Ath Bilbao",10
"265",18-03-03,"Villarreal",14,"Girona",4
"266",18-03-04,"Barcelona",16,"Ath Madrid",6
"267",18-03-04,"Levante",13,"Espanol",15
"268",18-03-04,"Sociedad",14,"Alaves",3
"269",18-03-04,"Valencia",12,"Betis",9
"270",18-03-05,"Celta",14,"Las Palmas",10
"271",18-03-09,"Girona",9,"La Coruna",8
"272",18-03-10,"Eibar",12,"Real Madrid",12
"273",18-03-10,"Getafe",11,"Levante",12
"274",18-03-10,"Malaga",6,"Barcelona",20
"275",18-03-10,"Sevilla",21,"Valencia",10
"276",18-03-11,"Ath Bilbao",13,"Leganes",12
"277",18-03-11,"Ath Madrid",7,"Celta",8
"278",18-03-11,"Espanol",18,"Sociedad",11
"279",18-03-11,"Las Palmas",9,"Villarreal",11
"280",18-03-12,"Alaves",9,"Betis",10
"281",18-03-16,"Levante",6,"Eibar",13
"282",18-03-17,"Betis",9,"Espanol",4
"283",18-03-17,"La Coruna",13,"Las Palmas",8
"284",18-03-17,"Sociedad",8,"Getafe",9
"285",18-03-17,"Valencia",24,"Alaves",16
"286",18-03-18,"Barcelona",18,"Ath Bilbao",10
"287",18-03-18,"Celta",9,"Malaga",5
"288",18-03-18,"Leganes",12,"Sevilla",10
"289",18-03-18,"Real Madrid",20,"Girona",10
"290",18-03-18,"Villarreal",17,"Ath Madrid",8
"291",18-03-31,"Ath Bilbao",11,"Celta",13
"292",18-03-31,"Girona",12,"Levante",15
"293",18-03-31,"Las Palmas",17,"Real Madrid",17
"294",18-03-31,"Sevilla",21,"Barcelona",20
"295",18-04-01,"Ath Madrid",15,"La Coruna",10
"296",18-04-01,"Eibar",15,"Sociedad",7
"297",18-04-01,"Espanol",12,"Alaves",13
"298",18-04-01,"Leganes",8,"Valencia",3
"299",18-04-01,"Malaga",13,"Villarreal",11
"300",18-04-02,"Getafe",8,"Betis",7
"301",18-04-06,"La Coruna",14,"Malaga",11
"302",18-04-07,"Alaves",11,"Getafe",5
"303",18-04-07,"Barcelona",12,"Leganes",11
"304",18-04-07,"Betis",13,"Eibar",5
"305",18-04-07,"Celta",12,"Sevilla",16
"306",18-04-08,"Levante",11,"Las Palmas",17
"307",18-04-08,"Real Madrid",30,"Ath Madrid",9
"308",18-04-08,"Sociedad",13,"Girona",8
"309",18-04-08,"Valencia",14,"Espanol",21
"310",18-04-09,"Villarreal",7,"Ath Bilbao",17
"311",18-04-13,"Girona",9,"Betis",10
"312",18-04-14,"Ath Bilbao",13,"La Coruna",5
"313",18-04-14,"Barcelona",12,"Valencia",17
"314",18-04-14,"Las Palmas",7,"Sociedad",20
"315",18-04-14,"Leganes",19,"Celta",5
"316",18-04-14,"Sevilla",18,"Villarreal",7
"317",18-04-15,"Ath Madrid",13,"Levante",11
"318",18-04-15,"Eibar",21,"Alaves",2
"319",18-04-15,"Getafe",13,"Espanol",5
"320",18-04-15,"Malaga",13,"Real Madrid",16
"321",18-04-17,"Celta",18,"Barcelona",14
"322",18-04-17,"La Coruna",22,"Sevilla",24
"323",18-04-17,"Villarreal",17,"Leganes",6
"324",18-04-18,"Espanol",10,"Eibar",5
"325",18-04-18,"Real Madrid",29,"Ath Bilbao",6
"326",18-04-18,"Valencia",10,"Getafe",8
"327",18-04-19,"Alaves",11,"Girona",14
"328",18-04-19,"Betis",17,"Las Palmas",1
"329",18-04-19,"Levante",11,"Malaga",10
"330",18-04-19,"Sociedad",12,"Ath Madrid",9
"331",18-04-20,"Leganes",13,"La Coruna",12
"332",18-04-21,"Celta",10,"Valencia",17
"333",18-04-21,"Eibar",12,"Getafe",7
"334",18-04-22,"Ath Madrid",10,"Betis",10
"335",18-04-22,"Girona",20,"Espanol",5
"336",18-04-22,"Las Palmas",12,"Alaves",10
"337",18-04-22,"Malaga",4,"Sociedad",14
"338",18-04-23,"Ath Bilbao",18,"Levante",11
"339",18-04-27,"Levante",15,"Sevilla",22
"340",18-04-28,"Espanol",16,"Las Palmas",13
"341",18-04-28,"Real Madrid",12,"Leganes",16
"342",18-04-28,"Sociedad",17,"Ath Bilbao",9
"343",18-04-28,"Villarreal",13,"Celta",15
"344",18-04-29,"Alaves",7,"Ath Madrid",14
"345",18-04-29,"Getafe",10,"Girona",15
"346",18-04-29,"La Coruna",17,"Barcelona",21
"347",18-04-29,"Valencia",16,"Eibar",8
"348",18-04-30,"Betis",12,"Malaga",9
"349",18-05-04,"Sevilla",16,"Sociedad",11
"350",18-05-05,"Ath Bilbao",14,"Betis",6
"351",18-05-05,"Celta",13,"La Coruna",11
"352",18-05-05,"Girona",16,"Eibar",15
"353",18-05-05,"Villarreal",13,"Valencia",6
"354",18-05-06,"Ath Madrid",9,"Espanol",14
"355",18-05-06,"Barcelona",11,"Real Madrid",17
"356",18-05-06,"Las Palmas",21,"Getafe",8
"357",18-05-06,"Malaga",16,"Alaves",13
"358",18-05-07,"Leganes",13,"Levante",10
"359",18-05-09,"Barcelona",12,"Villarreal",20
"360",18-05-09,"Sevilla",14,"Real Madrid",14
"361",18-05-12,"Alaves",4,"Ath Bilbao",13
"362",18-05-12,"Betis",9,"Sevilla",13
"363",18-05-12,"Eibar",10,"Las Palmas",8
"364",18-05-12,"Getafe",11,"Ath Madrid",5
"365",18-05-12,"Girona",16,"Valencia",10
"366",18-05-12,"La Coruna",16,"Villarreal",11
"367",18-05-12,"Real Madrid",15,"Celta",5
"368",18-05-12,"Sociedad",11,"Leganes",9
"369",18-05-13,"Espanol",19,"Malaga",9
"370",18-05-13,"Levante",12,"Barcelona",18
"371",18-05-19,"Celta",20,"Levante",7
"372",18-05-19,"Las Palmas",13,"Girona",12
