"","Date","HomeTeam","HS","AwayTeam","AS"
"1038",2020-06-14,"Ath Bilbao",10,"Ath Madrid",9
"1039",2020-06-14,"Real Madrid",6,"Eibar",9
"1040",2020-06-14,"Sociedad",9,"Osasuna",8
"1041",2020-06-15,"Levante",11,"Sevilla",10
"1042",2020-06-15,"Betis",18,"Granada",8
"1043",2020-06-16,"Getafe",21,"Espanol",5
"1044",2020-06-16,"Villarreal",10,"Mallorca",15
"1045",2020-06-16,"Barcelona",10,"Leganes",6
"1046",2020-06-17,"Eibar",12,"Ath Bilbao",6
"1047",2020-06-17,"Valladolid",6,"Celta",11
"1048",2020-06-17,"Osasuna",13,"Ath Madrid",10
"1049",2020-06-18,"Alaves",15,"Sociedad",9
"1050",2020-06-18,"Real Madrid",19,"Valencia",4
"1051",2020-06-19,"Granada",14,"Villarreal",5
"1052",2020-06-19,"Mallorca",7,"Leganes",16
"1053",2020-06-19,"Sevilla",8,"Barcelona",10
"1054",2020-06-20,"Espanol",10,"Levante",14
"1055",2020-06-20,"Ath Bilbao",12,"Betis",9
"1056",2020-06-20,"Getafe",9,"Eibar",8
"1057",2020-06-20,"Ath Madrid",15,"Valladolid",6
"1058",2020-06-21,"Celta",15,"Alaves",4
"1059",2020-06-21,"Valencia",7,"Osasuna",13
"1060",2020-06-21,"Sociedad",10,"Real Madrid",10
"1061",2020-06-22,"Villarreal",7,"Sevilla",14
"1062",2020-06-22,"Leganes",9,"Granada",4
"1063",2020-06-23,"Levante",12,"Ath Madrid",12
"1064",2020-06-23,"Valladolid",6,"Getafe",15
"1065",2020-06-23,"Barcelona",18,"Ath Bilbao",6
"1066",2020-06-24,"Alaves",5,"Osasuna",7
"1067",2020-06-24,"Sociedad",13,"Celta",4
"1068",2020-06-24,"Real Madrid",14,"Mallorca",11
"1069",2020-06-25,"Eibar",14,"Valencia",7
"1070",2020-06-25,"Betis",13,"Espanol",9
"1071",2020-06-26,"Sevilla",15,"Valladolid",11
"1072",2020-06-27,"Ath Bilbao",12,"Mallorca",14
"1073",2020-06-27,"Celta",10,"Barcelona",18
"1074",2020-06-27,"Osasuna",6,"Leganes",21
"1075",2020-06-27,"Ath Madrid",14,"Alaves",6
"1076",2020-06-28,"Levante",9,"Betis",17
"1077",2020-06-28,"Villarreal",17,"Valencia",4
"1078",2020-06-28,"Granada",14,"Eibar",13
"1079",2020-06-28,"Espanol",8,"Real Madrid",14
"1080",2020-06-29,"Getafe",11,"Sociedad",5
"1081",2020-06-30,"Mallorca",9,"Celta",12
"1082",2020-06-30,"Leganes",9,"Sevilla",11
"1083",2020-06-30,"Barcelona",12,"Ath Madrid",10
"1084",2020-07-01,"Alaves",11,"Granada",7
"1085",2020-07-01,"Valencia",10,"Ath Bilbao",12
"1086",2020-07-01,"Betis",9,"Villarreal",15
"1087",2020-07-01,"Valladolid",15,"Levante",8
"1088",2020-07-02,"Eibar",11,"Osasuna",9
"1089",2020-07-02,"Sociedad",12,"Espanol",4
"1090",2020-07-02,"Real Madrid",8,"Getafe",10
"1091",2020-07-03,"Ath Madrid",15,"Mallorca",13
"1092",2020-07-04,"Celta",5,"Betis",10
"1093",2020-07-04,"Valladolid",5,"Alaves",7
"1094",2020-07-04,"Granada",17,"Valencia",4
"1095",2020-07-05,"Ath Bilbao",7,"Real Madrid",10
"1096",2020-07-05,"Espanol",7,"Leganes",4
"1097",2020-07-05,"Osasuna",6,"Getafe",6
"1098",2020-07-05,"Villarreal",11,"Barcelona",18
"1099",2020-07-06,"Levante",9,"Sociedad",8
"1100",2020-07-06,"Sevilla",8,"Eibar",19
"1101",2020-07-07,"Valencia",10,"Valladolid",11
"1102",2020-07-07,"Celta",9,"Ath Madrid",10
"1103",2020-07-08,"Betis",14,"Osasuna",8
"1104",2020-07-08,"Getafe",5,"Villarreal",6
"1105",2020-07-08,"Barcelona",9,"Espanol",11
"1106",2020-07-09,"Eibar",4,"Leganes",10
"1107",2020-07-09,"Mallorca",15,"Levante",14
"1108",2020-07-09,"Ath Bilbao",13,"Sevilla",20
"1109",2020-07-10,"Sociedad",19,"Granada",4
"1110",2020-07-10,"Real Madrid",18,"Alaves",10
"1111",2020-07-11,"Osasuna",15,"Celta",12
"1112",2020-07-11,"Valladolid",13,"Barcelona",9
"1113",2020-07-11,"Ath Madrid",9,"Betis",21
"1114",2020-07-12,"Espanol",14,"Eibar",11
"1115",2020-07-12,"Levante",5,"Ath Bilbao",12
"1116",2020-07-12,"Leganes",10,"Valencia",16
"1117",2020-07-12,"Sevilla",14,"Mallorca",14
"1118",2020-07-13,"Alaves",3,"Getafe",14
"1119",2020-07-13,"Villarreal",9,"Sociedad",11
"1120",2020-07-13,"Granada",13,"Real Madrid",11
"1121",2020-07-16,"Eibar",13,"Valladolid",17
"1122",2020-07-16,"Ath Bilbao",10,"Leganes",16
"1123",2020-07-16,"Barcelona",19,"Osasuna",9
"1124",2020-07-16,"Betis",14,"Alaves",9
"1125",2020-07-16,"Celta",16,"Levante",8
"1126",2020-07-16,"Getafe",15,"Ath Madrid",11
"1127",2020-07-16,"Mallorca",18,"Granada",14
"1128",2020-07-16,"Real Madrid",12,"Villarreal",8
"1129",2020-07-16,"Sociedad",11,"Sevilla",8
"1130",2020-07-16,"Valencia",9,"Espanol",18
"1131",2020-07-19,"Alaves",8,"Barcelona",16
"1132",2020-07-19,"Valladolid",13,"Betis",10
"1133",2020-07-19,"Villarreal",12,"Eibar",11
"1134",2020-07-19,"Ath Madrid",6,"Sociedad",10
"1135",2020-07-19,"Espanol",8,"Celta",9
"1136",2020-07-19,"Granada",11,"Ath Bilbao",11
"1137",2020-07-19,"Leganes",15,"Real Madrid",7
"1138",2020-07-19,"Levante",13,"Getafe",13
"1139",2020-07-19,"Osasuna",12,"Mallorca",12
"1140",2020-07-19,"Sevilla",16,"Valencia",8
